#Script TE-analysis_Shuffle_bed.pl, v4.4.2
#Aggregated results + stats
#Features in input file (counts):
	465
#With 10 bootstraps for exp (expected); sd = standard deviation; nb = number; len = length; avg = average
#Two tests are made (permutation and binomial) to assess how significant the difference between observed and random, so two pvalues are given
#For the two tailed permutation test:
#if rank is < 5 and pvalue is not "ns", there are significantly fewer observed values than expected 
#if rank is > 5 and pvalue is not "ns", there are significantly higher observed values than expected 
#The binomial test is done with binom.test from R, two sided

#Level_(tot_means_all)	#	#	#COUNTS	#	#	#	#	#	#	#	#	#	#	#	#	#
#Rclass	Rfam	Rname	obs_hits	%_obs_(%of_features)	obs_tot_hits	nb_of_trials(nb_of_TE_in_genome)	exp_avg_hits	exp_sd	%_exp_(%of_features)	exp_tot_hits(avg)	obs_rank_in_exp	2-tailed_permutation-test_pvalue(obs.vs.exp)	significance	binomal_test_proba	binomial_test_95%_confidence_interval	binomial_test_pval	significance

LINE	tot	tot	196	42.1505376344086	290	1577401	122	11.2348663642351	26.2365591397849	229.1	11	0.2	ns	0.000124255	0.0001074685;0.0001429198	6.243e-10	***
LINE	L1	L1M5	1	0.21505376344086	290	45004	4.11111111111111	1.76383420737639	0.884109916367981	229.1	1	0.2	ns	2.222025e-05	5.625678e-07;1.237970e-04	0.2063	ns
LINE	L1	L1MC	0	0	290	7951	1.33333333333333	0.516397779494322	0.28673835125448	229.1	1	0.2	ns	0	0.000000000;0.000463844	0.6485	ns
LINE	L1	L1PA13	3	0.645161290322581	290	9108	1.83333333333333	1.16904519445001	0.39426523297491	229.1	6	1.2	ns	0.0003293808	6.793138e-05;9.622856e-04	0.4382	ns
LINE	L1	L1MEb	1	0.21505376344086	290	1729	1	na	0.21505376344086	229.1	2	0.4	ns	0.000578369	1.464293e-05;3.218209e-03	1	ns
LINE	L1	L1MB7	3	0.645161290322581	290	23453	2.33333333333333	1.22474487139159	0.50179211469534	229.1	9	0.6	ns	0.0001279154	2.638001e-05;3.737771e-04	0.5097	ns
LINE	L1	L1MEj	0	0	290	2390	1.5	0.707106781186548	0.32258064516129	229.1	1	0.2	ns	0	0.000000000;0.001542274	0.4141	ns
LINE	L1	L1MC3	2	0.43010752688172	290	13404	1.875	0.83452296039628	0.403225806451613	229.1	7	1	ns	0.0001492092	1.807044e-05;5.388899e-04	0.7125	ns
LINE	L1	L1PA8A	0	0	290	2447	2	0	0.43010752688172	229.1	1	0.2	ns	0	0.000000000;0.001506375	0.278	ns
LINE	L1	L1PA5	0	0	290	11526	4	2	0.860215053763441	229.1	1	0.2	ns	0	0.0000000000;0.0003199973	0.03965	*
LINE	L1	L1MEc	7	1.50537634408602	290	18088	2.66666666666667	1.5	0.573476702508961	229.1	10	0.4	ns	0.0003869969	0.0001556065;0.0007971979	0.01938	*
LINE	L1	L1ME4a	0	0	290	29258	1.83333333333333	0.752772652709081	0.39426523297491	229.1	1	0.2	ns	0	0.0000000000;0.0001260731	0.274	ns
LINE	L1	L1MA2	0	0	290	7510	1.5	0.755928946018454	0.32258064516129	229.1	1	0.2	ns	0	0.000000000;0.000491075	0.4142	ns
LINE	L1	L1M2b	0	0	290	212	1	na	0.21505376344086	229.1	1	0.2	ns	0	0.00000000;0.01724986	0.6313	ns
LINE	L1	L1MD1	1	0.21505376344086	290	7077	1	0	0.21505376344086	229.1	5	1	ns	0.0001413028	3.577471e-06;7.870346e-04	1	ns
LINE	L1	L1ME3B	2	0.43010752688172	290	8262	1.4	0.547722557505166	0.301075268817204	229.1	6	1.2	ns	0.0002420721	0.0000293174;0.0008741713	0.4082	ns
LINE	L1	L1M3c	1	0.21505376344086	290	1084	1	0	0.21505376344086	229.1	3	0.6	ns	0.0009225092	2.335564e-05;5.129067e-03	1	ns
LINE	L1	L1PA11	4	0.860215053763441	290	4208	1.16666666666667	0.408248290463863	0.25089605734767	229.1	7	1	ns	0.0009505703	0.0002590572;0.0024320331	0.03093	*
LINE	L1	L1PB4	1	0.21505376344086	290	7615	2	0	0.43010752688172	229.1	1	0.2	ns	0.0001313198	3.324723e-06;7.314473e-04	0.7293	ns
LINE	L1	L1MA9	1	0.21505376344086	290	16799	2.14285714285714	1.4638501094228	0.460829493087558	229.1	4	0.8	ns	5.952735e-05	1.507101e-06;3.316201e-04	0.7306	ns
LINE	L1	L1P2	0	0	290	1631	1.66666666666667	0.577350269189626	0.3584229390681	229.1	1	0.2	ns	0	0.000000000;0.002259173	0.4227	ns
LINE	L1	L1PA10	2	0.43010752688172	290	7222	1.375	0.517549169506766	0.295698924731183	229.1	9	0.6	ns	0.0002769316	3.353946e-05;1.000010e-03	0.3995	ns
