chr11-1	chr11	3841646	3841862	+	78.1	0.734	107.000000	147.0	5.3	27.55	2.23e-152	32.36	4.04e-160	0.88
chr19-2	chr19	11221286	11221502	+	71.2	0.879	78.000000	134.0	1.8	75.35	2.72e-196	40.54	7.00e-161	1.15
chr4-13	chr4	94452628	94452844	+	70.7	0.806	95.000000	133.0	5.0	26.71	2.54e-136	47.21	2.73e-168	0.92
chr4-12	chr4	52051866	52052082	+	70.1	0.814	97.000000	132.0	4.3	30.93	2.00e-143	46.54	2.97e-161	0.91
chr13-1	chr13	79395860	79396076	+	69.6	0.844	89.000000	132.0	6.4	20.62	4.22e-121	29.30	2.45e-138	0.97
chr1-5	chr1	109988620	109988836	+	54.7	0.845	67.000000	104.0	0.7	146.21	1.96e-182	30.15	3.07e-111	1.07
chr10-7	chr10	61001787	61002003	+	51.0	0.829	71.000000	96.0	3.6	26.99	2.37e-99	45.08	3.99e-120	0.98
chr7-4	chr7	23415416	23415632	+	46.2	0.685	66.000000	88.0	3.6	24.74	4.96e-88	25.47	4.22e-88	0.93
chr10-9	chr10	13472420	13472636	+	45.7	0.683	65.000000	86.0	2.5	34.54	4.12e-98	9.89	4.60e-54	0.96
chr17-13	chr17	82820412	82820628	+	42.5	0.923	52.000000	80.0	3.6	22.49	5.05e-77	22.99	6.68e-75	1.12
chr1-6	chr1	206912653	206912869	+	42.0	0.780	58.000000	79.0	2.5	31.73	1.88e-87	24.23	1.59e-78	1.10
chr14-1	chr14	99975316	99975532	+	42.0	0.811	58.000000	79.0	1.4	55.53	3.41e-106	25.62	2.28e-80	0.99
chr1-8	chr1	56703819	56704035	+	40.9	0.796	56.000000	77.0	1.4	54.12	1.04e-102	32.44	5.30e-86	0.98
chr1-7	chr1	235067895	235068111	+	40.9	0.698	57.000000	77.0	5.7	13.53	3.52e-58	13.83	7.38e-59	1.07
chr15-2	chr15	67352741	67352957	+	39.3	0.864	56.000000	74.0	3.2	23.12	3.16e-72	29.52	8.66e-80	1.01
chr12-1	chr12	115556059	115556275	+	38.8	0.886	48.000000	73.0	1.4	51.31	8.24e-96	38.27	1.02e-86	1.12
chr22-4	chr22	43090337	43090553	+	38.3	0.851	54.000000	73.0	5.0	14.66	1.29e-57	19.67	1.64e-65	1.00
chr14-2	chr14	24373132	24373348	+	37.2	0.792	50.000000	70.0	2.8	24.60	3.11e-70	21.04	1.10e-65	1.05
chr21-5	chr21	36307220	36307436	+	36.7	0.875	51.000000	69.0	1.8	38.80	1.80e-82	24.30	6.64e-69	1.05
chr9-2	chr9	79448008	79448224	+	35.1	0.678	46.000000	69.0	12.4	5.54	1.02e-28	12.14	2.89e-47	1.09
chr11-3	chr11	11867162	11867378	+	35.1	0.871	54.000000	66.0	3.6	18.56	1.29e-58	33.81	3.98e-75	0.92
chr18-8	chr18	22875773	22875989	+	35.1	0.798	49.000000	66.0	4.6	14.27	1.50e-51	26.81	1.09e-68	1.11
chr19-3	chr19	19034439	19034655	+	35.1	0.789	56.000000	66.0	2.8	23.20	1.05e-64	17.20	1.48e-56	0.92
chr21-9	chr21	32716565	32716781	+	32.9	0.850	39.000000	62.0	3.6	17.43	1.40e-53	35.84	3.34e-72	1.23
chr1-14	chr1	228246303	228246519	+	32.4	0.875	48.000000	61.0	5.0	12.25	4.96e-44	8.81	3.88e-36	1.02
chr1-17	chr1	234505321	234505537	+	32.4	0.793	42.000000	61.0	6.4	9.53	5.57e-38	11.85	3.14e-43	1.07
chr2-11	chr2	119711424	119711640	+	32.4	0.915	40.000000	61.0	2.8	21.44	6.04e-58	31.98	3.88e-68	1.15
chr4-44	chr4	55545677	55545893	+	32.4	0.745	47.000000	61.0	4.6	13.19	7.65e-46	20.68	4.95e-57	1.02
chr12-3	chr12	119744981	119745197	+	31.9	0.814	41.000000	61.0	2.5	24.50	2.48e-61	20.19	1.57e-55	1.16
chr18-9	chr18	36051853	36052069	+	31.9	0.816	46.000000	60.0	4.3	14.06	1.18e-46	24.15	5.39e-60	0.98
chr20-7	chr20	31700422	31700638	+	31.9	0.747	43.000000	60.0	2.1	28.12	8.31e-64	21.64	2.95e-57	1.02
chr7-9	chr7	33783213	33783429	+	31.3	0.886	41.000000	59.0	3.2	18.43	2.01e-52	25.58	1.96e-60	1.14
chr8-2	chr8	55748751	55748967	+	31.3	0.800	41.000000	59.0	0.7	82.94	6.62e-90	52.15	3.43e-78	1.05
chr5-16	chr5	43007617	43007833	+	30.8	0.913	43.000000	58.0	1.8	32.62	2.34e-65	27.93	1.51e-60	1.03
chr12-2	chr12	103917952	103918168	+	30.8	0.884	44.000000	58.0	2.5	23.30	3.48e-57	23.15	4.43e-56	1.01
chr15-3	chr15	67905742	67905958	+	30.8	0.861	43.000000	58.0	1.1	54.36	6.40e-78	24.67	1.45e-58	0.98
chr22-7	chr22	37709267	37709483	+	30.8	0.758	44.000000	58.0	2.1	27.18	6.47e-61	11.83	3.80e-41	1.03
chr11-5	chr11	34124973	34125189	+	30.3	0.868	40.000000	57.0	3.2	17.81	6.72e-50	32.12	6.80e-64	1.14
chr7-8	chr7	155648904	155649120	+	29.8	0.873	48.000000	56.0	3.2	17.49	1.20e-48	16.18	7.29e-47	0.94
chr14-3	chr14	22761853	22762069	+	29.8	0.827	46.000000	56.0	3.6	15.75	3.09e-46	20.86	1.03e-52	0.99
chr16-32	chr16	88921659	88921875	+	29.2	0.857	45.000000	55.0	2.5	22.09	4.19e-53	17.46	9.09e-48	0.91
chr7-12	chr7	316530	316746	+	28.2	0.792	39.000000	53.0	3.6	14.90	1.15e-42	23.20	2.59e-52	1.00
chr1-19	chr1	206030819	206031035	+	27.6	0.795	40.000000	52.0	1.1	48.74	1.27e-67	21.90	3.50e-49	1.01
chr1-20	chr1	228245211	228245427	+	27.6	0.766	40.000000	52.0	5.7	9.14	8.69e-32	6.98	1.92e-26	0.98
